gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,powerPerformance,testDate,category,price_per_watt
GeForce RTX 2080 with Max-Q Design,13681,574,2099.99,6.51,90.0,152.01,2019,Mobile,23.33322222222222
NVIDIA TITAN X,13660,912,608.1,22.46,250.0,54.64,2016,Desktop,2.4324
Radeon RX Vega 56,13636,784,752.99,18.11,210.0,64.93,2017,Desktop,3.5856666666666666
GeForce GTX 1070,13482,857,342.55,39.36,150.0,89.88,2016,Desktop,2.283666666666667
GeForce GTX TITAN X,13173,843,1096.99,12.01,250.0,52.69,2015,Desktop,4.38796
GeForce GTX 1660 SUPER,12732,823,329.99,38.58,125.0,101.85,2019,Desktop,2.63992
GeForce RTX 3060 Laptop GPU,12674,551,479.99,26.41,115.0,110.21,2021,Mobile,4.173826086956522
Quadro P5000,11976,701,1868.99,6.41,180.0,66.54,2016,Workstation,10.383277777777778
GeForce GTX 1660 Ti,11794,702,349.99,33.7,120.0,98.29,2019,Desktop,2.9165833333333335
GeForce GTX 1660,11695,796,399.99,29.24,120.0,97.46,2019,Desktop,3.33325
Quadro P4000,11422,820,556.19,20.54,105.0,108.78,2017,Workstation,5.2970476190476194
Quadro M6000,11397,788,1099.98,10.36,250.0,45.59,2015,Workstation,4.39992
GeForce GTX 980,11237,815,247.35,45.43,165.0,68.1,2014,Desktop,1.499090909090909
GeForce GTX 1060,10070,762,279.99,35.97,120.0,83.92,2016,Desktop,2.33325
GeForce GTX 1650 SUPER,10032,761,441.05,22.75,100.0,100.32,2019,Desktop,4.4105
Radeon R9 Fury + Fury X,9741,811,449.99,21.65,275.0,35.42,2015,Desktop,1.6363272727272729
GeForce GTX 1060 3GB,9728,779,305.0,31.9,120.0,81.07,2016,Desktop,2.5416666666666665
GeForce GTX 970,9688,781,237.99,40.71,145.0,66.81,2014,Desktop,1.6413103448275863
Radeon RX 590,9665,810,549.99,17.57,175.0,55.23,2018,Desktop,3.1428000000000003
Quadro P2200,9486,971,577.17,16.43,75.0,126.47,2019,Workstation,7.6956
GeForce GTX 780 Ti,9312,626,339.99,27.39,250.0,37.25,2013,Desktop,1.35996
Radeon Pro W5500,9269,896,480.99,19.27,125.0,74.15,2020,Desktop,3.8479200000000002
Quadro M5000,9262,679,499.0,18.56,150.0,61.74,2015,Workstation,3.3266666666666667
GeForce GTX TITAN Z,9189,648,1515.0,6.07,375.0,24.5,2014,Desktop,4.04
Radeon RX 5500 XT,9188,824,449.0,20.46,130.0,70.68,2019,Desktop,3.453846153846154
GeForce GTX TITAN Black,9140,616,524.99,17.41,250.0,36.56,2014,Desktop,2.09996
GeForce RTX 3050 Laptop GPU,9037,416,379.99,23.78,80.0,112.97,2021,Mobile,4.749875
Radeon RX 580,8907,772,349.0,25.52,185.0,48.14,2017,Desktop,1.8864864864864865
GeForce GTX 1060 5GB,8704,680,487.99,17.84,120.0,72.54,2018,Desktop,4.066583333333333
Radeon RX 480,8674,779,339.99,25.51,150.0,57.83,2016,Desktop,2.2666
Radeon R9 295X2,8619,804,499.1,17.27,500.0,17.24,2014,Desktop,0.9982000000000001
GeForce GTX Titan,8556,660,745.0,11.48,250.0,34.22,2013,Desktop,2.98
Radeon R9 290X / 390X,8389,699,319.99,26.22,290.0,28.93,2013,Desktop,1.1034137931034482
Radeon Pro Duo,8324,715,1199.06,6.94,350.0,23.78,2016,Desktop,3.425885714285714
Radeon R9 290 / 390,8150,695,380.0,21.45,275.0,29.64,2013,Desktop,1.3818181818181818
Quadro K6000,8108,556,392.0,20.68,225.0,36.03,2013,Workstation,1.7422222222222221
Radeon RX 470/570,8070,726,388.99,20.74,120.0,67.25,2016,Desktop,3.2415833333333333
GeForce GTX 780,8022,601,279.99,28.65,250.0,32.09,2013,Desktop,1.11996
Radeon Pro WX 7100,7822,787,1047.99,7.46,130.0,60.17,2016,Workstation,8.061461538461538
GeForce GTX 1650,7807,592,209.0,37.35,75.0,104.09,2019,Desktop,2.7866666666666666
FirePro W9100,7719,790,1729.99,4.46,275.0,28.07,2014,Workstation,6.290872727272728
FirePro W8100,7327,759,704.0,10.41,220.0,33.3,2014,Workstation,3.2
GeForce GTX 980M,7317,514,289.99,25.23,100.0,73.17,2014,Mobile,2.8999
